date,state_jurisdiction,program_name,dollar_amount,action_type,federal_stated_rationale,state_local_response,outcome,primary_source_url,verification_level
2025-05-29,"500+ sanctuary cities/counties (CA, IL, NY, OR, WA, CO, MA, NJ, NM, CT, and others)",DHS — All Federal Grants (Sanctuary List),Billions (unspecified),threatened,"DHS published list of 500+ 'sanctuary jurisdictions'; threatened to withhold DOJ and Transportation funds from jurisdictions not cooperating with ICE enforcement",lawsuit filed,"Federal judges issued injunctions blocking withholding from multiple jurisdictions; litigation ongoing in multiple circuits",https://www.visaverge.com/immigration/dhs-publishes-list-of-sanctuary-cities-and-counties-obstructing-immigration-enforcement/,HIGH
2025-06-01,All States,BEAD Broadband (NTIA — IIJA),$42.5 billion (program total),delayed,"NTIA issued new rules removing fiber preference, labor requirements, affordability and diversity conditions; all previously approved state proposals voided; 90-day resubmission window",pending,"GAO ruled NTIA policy notice constitutes a new federal rule subject to Congressional Review Act; further delays expected",https://tiaonline.org/understanding-the-new-bead-rules-whats-changed-in-ntias-june-2025-policy-notice/,HIGH
2025-06-30,All States,HHS — Head Start,Not specified,withheld,"HHS reduced disbursement rate for Head Start grants compared to prior year; GAO found this violated the Impoundment Control Act",resisted,"Funds restored after congressional outcry and GAO finding of illegality",https://www.cbsnews.com/news/trump-head-start-funds-congressional-watchdog/,HIGH
2025-08-18,"21 States + DC (NY, CA, WI, IL, CO, MA, OR, WA, NJ, NM, and others)",VOCA / VAWA (DOJ — Victims Funds),~$1.4 billion (annual VOCA),conditioned,"DOJ conditioned victim assistance funding on state cooperation with federal immigration enforcement — honoring ICE detainers and granting ICE facility access",lawsuit filed,"DOJ dropped illegal grant conditions after multistate lawsuit; CA received $160M+ in VOCA/VAWA grants without immigration conditions",https://www.pbs.org/newshour/politics/20-states-and-d-c-sue-doj-to-stop-immigration-conditions-on-funds-for-crime-victims,HIGH
2025-09-01,"All States (Medicaid)",HHS — Medicaid (Budget Reconciliation),"$900 billion–$1 trillion (10-year cut)",conditioned,"Budget reconciliation (H.R. 1 / OBBBA) enacted historic Medicaid funding reductions; new work requirements, provider tax limits, more frequent eligibility reviews",pending,"States planning benefit cuts, reduced eligibility, provider pay reductions; individual state losses estimated 3%–21% of federal Medicaid funding",https://www.commonwealthfund.org/blog/2025/states-responses-hr-1-cuts-medicaid-funding,HIGH
2025-10-02,"Blue states (CA, CO, CT, DE, HI, IL, MD, MA, MN, NH, NJ, NM, NY, OR, VT, WA)",DOE — Clean Energy Grants (IRA/IIJA),"$7.56 billion (223 projects, 321 awards)",canceled,"DOE terminated projects after 'individualized financial review' finding projects did not 'adequately advance nation's energy needs' or provide 'positive return on taxpayer investment'",resisted,"Recipients given 30-day appeal window; DOE reviewing additional hundreds of grants potentially totaling $20B in cuts; lawsuits pending",https://www.energy.gov/articles/energy-department-announces-termination-223-projects-saving-over-75-billion,HIGH
2025-10-19,All States (45 states),FEMA — Disaster Relief Fund,$11 billion,delayed,"FEMA shifted disaster reimbursement payments from FY2025 to FY2026 due to Disaster Relief Fund shortfall from COVID-19 spending; stricter expenditure reviews",lawsuit filed,"Federal judge ordered release of some withheld grants finding manual review violated prior court injunctions; states face cash flow challenges",https://www.naco.org/news/fema-delays-11-billion-state-disaster-reimbursements,HIGH
2025-10-19,All States,FEMA — Emergency Management Grants,Not specified,delayed,"New rules requiring updated population counts excluding individuals removed under immigration laws; additional administrative burdens for state emergency managers",resisted,"States warn disaster response capabilities may be compromised; federal-state negotiations ongoing",https://www.usnews.com/news/best-states/washington/articles/2025-10-19/state-emergency-officials-say-new-rules-and-delays-for-fema-grants-put-disaster-response-at-risk,HIGH
2025-01-20,"AZ, NM, OH, OR, TX, ID, NY, VT",CHIPS Act (Commerce Dept.),$50 billion (program total),delayed,"New administration initiated renegotiation of multi-billion dollar CHIPS contracts; Commerce Secretary signaled grants may be withheld from firms not expanding U.S. manufacturing operations sufficiently",pending,"Over $36B of $50B formally awarded by late 2025; renegotiations ongoing for Intel and others; timeline extended into late 2020s",https://www.manufacturingdive.com/news/chips-and-science-act-tracker-semiconductor-manufacturing/734039/,MEDIUM
2025-02-14,"MA (and other states)",EPA — Solar For All / Clean Energy Grants,$168 million (MA alone),frozen,"EPA suspended grants including Solar For All program and emissions-reducing initiatives as part of broader environmental grant freeze",resisted,"Legal challenges filed; grants remain suspended pending litigation outcome",https://www.wbur.org/news/2025/02/14/epa-trump-zeldin-masschusetts-climate-grants,HIGH
2025-02-01,"CA (UC and CSU systems)",NIH — Research Grants (Targeted Terminations),"$135.8 million (79 grants, CA alone as of Apr 2025)",terminated,"Grants targeting LGBTQ+ health, gender identity, DEI-related research canceled under EO priorities; UC received 31 termination notices, CSU received 17",lawsuit filed,"Some grants reinstated by federal court order Jun 2025; UC system fighting to restore $37M+ in terminated funds; litigation ongoing",https://edsource.org/2025/california-research-grants-federal-funding-trump-administration/733468,HIGH
2025-04-02,"OR, HI, CO, AZ, IL",FEMA — Disaster Relief Grants (Continued Freeze),"$129 million (OR alone); 215+ grants across 19 states",frozen,"Continued freeze despite federal court injunction ordering resumption; administration claimed 'manual review' rather than freeze; 23 AGs filed enforcement motions",lawsuit filed,"Federal judge found FEMA violated prior court injunctions; OR owed $129M, HI wildfire survivor programs at risk, CO and AZ mitigation grants delayed",https://www.npr.org/2025/04/02/nx-s1-5345777/trump-states-fema-funds,HIGH
2025-08-21,CA,HHS — PREP Sex Education Grant (Terminated),$12.3 million,terminated,"CA refused to remove gender identity content from PREP curriculum; HHS ordered removal in Jun 2025; CA replied Aug 19 it would not comply; grant terminated Aug 21",appealed,"Grant terminated; CA given 30-day appeal window; services disrupted for at-risk youth in ~20 counties",https://www.hhs.gov/press-room/hhs-defunds-californias-attempt-indoctrinate-children-gender-ideology.html,HIGH
2025-08-26,"40 States + DC + 5 territories",HHS — PREP Sex Education Grants (Gender Identity Ultimatum),$81 million (total program),threatened,"HHS/ACF ordered all PREP-funded states to remove gender identity references from sex education curricula; 60-day compliance deadline; CA terminated first as example",mixed,"CA terminated immediately; remaining states given 60-day deadline; compliance reviews pending; legal challenges anticipated",https://www.hhs.gov/press-room/hhs-acf-states-remove-gender-ideology-sex-ed.html,HIGH
2025-09-18,"All States (CA hardest hit — 167+ institutions)",Dept. of Education — MSI Discretionary Grants,$350 million (national total),canceled,"Solicitor General determined MSI eligibility criteria constitute unconstitutional race-based quotas; Dept. of Education ended all discretionary MSI funding",resisted,"$132M in mandatory MSI funding remains; discretionary grants ended; CA Latino Legislative Caucus and civil rights groups pledge legal fight",https://www.ed.gov/about/news/press-release/us-department-of-education-ends-funding-racially-discriminatory-discretionary-grant-programs-minority-serving-institutions,HIGH
2026-02-07,IL,FEMA — Individual Assistance (Aug 2025 Storms — Denied),Not specified,denied,"FEMA denied IL disaster declaration for Aug 16-19 storms (Boone, Cook, Kane, McHenry, Will counties); initial denial Oct 2025; appeal denied Feb 7 2026; supplemental federal assistance deemed not warranted",appealed,"No further federal appeals available; Gov. Pritzker called it 'politically motivated'; state and local resources must bear full recovery burden",https://www.nprillinois.org/government-politics/2026-02-10/trump-administration-again-rejects-illinois-request-for-disaster-aid-from-august-storm,HIGH
2025-04-04,All States,FEMA — BRIC Hazard Mitigation Grants (Canceled),$4.5 billion (FY2020-2024),canceled,"FEMA canceled Building Resilient Infrastructure and Communities (BRIC) program; all unawarded/unobligated FY2020-2023 grants canceled; FY2024 funding opportunity withdrawn; unspent funds returned to DRF or Treasury",lawsuit filed,"20 states sued; federal judge issued temporary injunction halting fund reallocation; ~2000 projects halted across dozens of states including AZ, CA, IL, MD, NY, OK, PA, NC, LA, TX",https://www.politico.com/news/2025/06/30/cities-lose-hope-restarting-disaster-projects-killed-by-trump-00414928,HIGH
2025-07-01,"TX ($700M), VA ($108M), AR ($64M), OK ($70M), NH ($27M)",Dept. of Education — K-12 Grants (State-Specific Withholding),"$6.9 billion (national); TX $700M, VA $108M, AR $64M, OK $70M, NH $27M",withheld,"Dept. of Education withheld FY25 grants for Title II-A (teacher training), III-A (English learners), IV-A (enrichment), IV-B (afterschool) pending 'programmatic review' to align with presidential priorities; near-zero notice to states",lawsuit filed,"TX AFT and 13 agencies sued Jul 22; funds released Jul 25 under bipartisan pressure and legal challenges; weeks of disruption forced districts to pause programs, delay staff, cancel curriculum orders",https://www.kxan.com/investigations/texas-aft-13-other-agencies-sue-over-millions-in-withheld-federal-education-funding/,HIGH
2025-10-02,NH,DOE — Clean Energy Grants (NH-Specific Terminations),"~$5 million (Brayton Energy); $43 million (Solar for All at risk)",canceled,"DOE terminated $5M grant to Brayton Energy (Hampton NH) for advanced thermal energy storage; NH $43M Solar for All grant also at risk; NH Congressional delegation protested as 'unlawful'",resisted,"NH Congressional delegation urged DOE/OMB reinstatement; legal challenge joined by NH AG; Brayton Energy project halted; Solar for All program for low-income communities jeopardized",https://www.nhpr.org/nh-news/2025-10-02/federal-energy-funding-cancellations-hits-project-in-new-hampshire-trump,HIGH
2026-02-26,"CA, IL, MN, CO, Virgin Islands",FEMA — Disaster Relief Fund (Selective Release — Excluded States),"~$5 billion released to other states; CA, IL, MN, CO, VI excluded",withheld,"DHS released $5B+ in long-delayed FEMA disaster aid but excluded CA, IL, MN, CO, and VI; DHS claimed 'project readiness and strict oversight'; critics allege political targeting of blue states",lawsuit filed,"NY and NC received aid in this tranche; CA still awaiting $1B+ for wildfire recovery; IL denied for Aug 2025 storms; political retaliation alleged by excluded states' governors",https://thehill.com/policy/energy-environment/5759529-billions-in-fema-funds-awarded/,HIGH
